id,title,genre,platform,score,release_date,monthly_clicks,description
game_0017,Doors,Horror,Mobile,0.706,2022-01-21,3591,Doors is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0018,Piggy,Horror,PlayStation,0.92,2026-01-03,154,Piggy is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0019,The Mimic,Horror,PC,0.715,2025-10-27,59,The Mimic is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0020,3008,Horror,Mobile,0.843,2026-05-28,975,3008 is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0021,Bear,Horror,PC,0.737,2023-03-30,3352,Bear is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0022,Dead Silence,Horror,PC,0.768,2024-07-13,298,Dead Silence is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0023,Tower Defense Simulator,Tower Defense,PC,0.812,2020-11-03,9626,Tower Defense Simulator is a tower-defense battleground to place units and repel waves on Roblox.
game_0024,All Star Tower Defense,Tower Defense,PC,0.808,2026-07-12,5241,All Star Tower Defense is a tower-defense battleground to place units and repel waves on Roblox.
game_0025,Tower Heroes,Tower Defense,Mobile,0.653,2023-02-01,205,Tower Heroes is a tower-defense battleground to place units and repel waves on Roblox.
game_0026,Elemental Tower Defense,Tower Defense,PC,0.901,2021-01-31,1340,Elemental Tower Defense is a tower-defense battleground to place units and repel waves on Roblox.
game_0027,Arsenal,FPS,PlayStation,0.957,2021-03-16,1215,Arsenal is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0028,Phantom Forces,FPS,PC,0.949,2024-02-28,1330,Phantom Forces is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0029,Bad Business,FPS,Mobile,0.978,2022-01-22,6738,Bad Business is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0030,Counter Blox,FPS,Mobile,0.657,2025-03-06,771,Counter Blox is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0031,Energy Assault,FPS,PC,0.648,2025-11-15,1400,Energy Assault is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0032,World Zero,RPG,Xbox,0.782,2024-02-18,124,"World Zero is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0033,Vesteria,RPG,Mobile,0.887,2023-10-23,13051,"Vesteria is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0034,Fantastic Frontier,RPG,Xbox,0.702,2021-09-13,427,"Fantastic Frontier is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0035,Swordburst 2,RPG,PC,0.723,2025-11-08,3606,"Swordburst 2 is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0036,A Universal Time,RPG,PC,0.781,2024-05-26,4110,"A Universal Time is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0037,Anime Fighting Simulator,Fighting,PC,0.741,2025-09-09,217,"Anime Fighting Simulator is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0038,The Strongest Battlegrounds,Fighting,Xbox,0.967,2026-05-15,1268,"The Strongest Battlegrounds is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0039,Untitled Boxing Game,Fighting,PlayStation,0.757,2021-02-01,3456,"Untitled Boxing Game is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0040,Martial Arts Battle Arena,Fighting,Xbox,0.974,2026-07-06,4114,"Martial Arts Battle Arena is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0041,Vehicle Legends,Racing,PC,0.85,2021-10-16,4585,Vehicle Legends is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0042,Driving Empire,Racing,Mobile,0.617,2021-01-28,10940,Driving Empire is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0043,Car Crushers 2,Racing,PC,0.572,2025-11-22,1736,Car Crushers 2 is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0044,Midnight Racing Tokyo,Racing,Mobile,0.963,2025-11-24,12773,Midnight Racing Tokyo is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0045,Blade Ball,Sports,PC,0.724,2023-11-24,130,"Blade Ball is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0046,Basketball Legends,Sports,PlayStation,0.816,2026-02-02,1727,"Basketball Legends is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0047,Soccer Legends,Sports,PC,0.638,2023-08-11,1774,"Soccer Legends is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0048,Football Fusion 2,Sports,Mobile,0.747,2023-03-04,334,"Football Fusion 2 is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0049,Tower of Hell,Obby,PlayStation,0.582,2025-05-31,2347,Tower of Hell is a platforming obstacle course testing precision and patience on Roblox.
game_0050,Mega Easy Obby,Obby,PC,0.813,2023-02-21,716,Mega Easy Obby is a platforming obstacle course testing precision and patience on Roblox.
game_0051,Juke's Towers of Hell,Obby,PlayStation,0.954,2025-05-16,3798,Juke's Towers of Hell is a platforming obstacle course testing precision and patience on Roblox.
game_0052,The Really Easy Obby,Obby,PC,0.859,2024-03-04,1340,The Really Easy Obby is a platforming obstacle course testing precision and patience on Roblox.
game_0053,Brookhaven,Social,PC,0.658,2021-01-20,1809,"Brookhaven is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0054,MeepCity,Social,Xbox,0.619,2023-08-07,648,"MeepCity is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0055,Royale High,Social,PC,0.582,2025-04-12,3966,"Royale High is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0056,Club Roblox,Social,Xbox,0.8,2022-05-24,12580,"Club Roblox is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0057,Epic Minigames,Social,PC,0.937,2026-02-01,250,"Epic Minigames is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0058,Build a Boat for Treasure,Sandbox,PC,0.969,2021-12-23,509,Build a Boat for Treasure is a physics sandbox for building and tinkering with anything on Roblox.
game_0059,Plane Crazy,Sandbox,Mobile,0.97,2024-09-17,5070,Plane Crazy is a physics sandbox for building and tinkering with anything on Roblox.
game_0060,Build Island,Sandbox,Xbox,0.895,2021-12-01,2899,Build Island is a physics sandbox for building and tinkering with anything on Roblox.
game_0061,Scrap Mechanic Simulator,Sandbox,Xbox,0.714,2025-04-28,3509,Scrap Mechanic Simulator is a physics sandbox for building and tinkering with anything on Roblox.
game_0062,Puzzle Doors,Puzzle,PC,0.7,2021-05-16,991,Puzzle Doors is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0063,Color or Die,Puzzle,Xbox,0.721,2024-05-14,4070,Color or Die is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0064,Riddles,Puzzle,PC,0.954,2022-10-27,476,Riddles is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0065,Natural Disaster Survival,Survival,PC,0.807,2025-04-26,6175,"Natural Disaster Survival is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0066,Survive the Killer,Survival,PC,0.6,2020-10-19,4424,"Survive the Killer is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0067,Flee the Facility,Survival,Xbox,0.707,2024-04-28,760,"Flee the Facility is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0068,Escape Room,Survival,PC,0.835,2023-01-06,2149,"Escape Room is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0069,Shindo Life,Anime,PC,0.69,2021-12-15,10176,"Shindo Life is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0070,Anime Adventures,Anime,Mobile,0.841,2022-04-14,1319,"Anime Adventures is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0071,King Legacy,Anime,Xbox,0.681,2026-07-13,1726,"King Legacy is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0072,A One Piece Game,Anime,PC,0.75,2022-12-03,8055,"A One Piece Game is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0073,Murder Mystery 2,Mystery,PC,0.833,2024-08-18,246,Murder Mystery 2 is a social-deduction mystery where you find the culprit before it's you on Roblox.
game_0074,Mystery Dungeon,Mystery,PC,0.902,2025-06-27,3573,Mystery Dungeon is a social-deduction mystery where you find the culprit before it's you on Roblox.
game_0075,RoCitizens,Comedy,Mobile,0.613,2024-04-20,2021,RoCitizens is a lighthearted comedic experience full of silly gags and chaos on Roblox.
game_0076,Funky Friday,Comedy,PC,0.859,2024-05-09,4243,Funky Friday is a lighthearted comedic experience full of silly gags and chaos on Roblox.
game_0077,Emergency Response: Liberty County,Military,PC,0.934,2026-06-22,793,"Emergency Response: Liberty County is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0078,War Tycoon,Military,Xbox,0.75,2020-09-22,21,"War Tycoon is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0079,State of Anarchy,Military,Mobile,0.959,2022-12-23,167,"State of Anarchy is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0080,Military Combat Tycoon,Military,Xbox,0.733,2020-11-15,3299,"Military Combat Tycoon is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0081,Alone in a Dark House,Scary,Xbox,0.744,2021-03-18,919,Alone in a Dark House is a jump-scare driven horror romp through haunted locations on Roblox.
game_0082,Identity Fraud,Scary,Mobile,0.758,2020-09-08,3987,Identity Fraud is a jump-scare driven horror romp through haunted locations on Roblox.
game_0083,The Asylum,Scary,PC,0.667,2023-11-27,616,The Asylum is a jump-scare driven horror romp through haunted locations on Roblox.
game_0084,Nightmare Mansion,Scary,PC,0.715,2023-12-10,1246,Nightmare Mansion is a jump-scare driven horror romp through haunted locations on Roblox.
game_0085,Work at a Pizza Place,Tycoon,PC,0.783,2022-10-28,286,Work at a Pizza Place is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0086,Super Hero Tycoon,Tycoon,PC,0.918,2026-04-25,273,Super Hero Tycoon is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0087,Zombie Rush,Survival,Xbox,0.781,2021-11-01,210,"Zombie Rush is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0088,Flee the Zombies,Survival,Mobile,0.562,2021-02-01,1048,"Flee the Zombies is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0089,Pet Story,Simulation,PC,0.911,2024-09-06,2503,"Pet Story is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0090,My Restaurant,Simulation,Xbox,0.586,2026-03-25,16931,"My Restaurant is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0091,Treasure Quest,Adventure,PC,0.713,2023-08-14,3754,"Treasure Quest is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0092,Pirate's Life,Adventure,PC,0.67,2022-04-14,149,"Pirate's Life is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0093,Clone Tycoon 2,Tycoon,PlayStation,0.558,2021-04-05,297,Clone Tycoon 2 is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0094,Boxing Simulator,Fighting,Mobile,0.874,2026-01-31,7214,"Boxing Simulator is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0095,Rocket Racing,Racing,PlayStation,0.793,2025-04-02,367,Rocket Racing is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0096,Speed Run 4,Obby,PC,0.811,2024-08-26,11484,Speed Run 4 is a platforming obstacle course testing precision and patience on Roblox.
game_0097,Obby Creator,Obby,PlayStation,0.965,2024-09-12,16273,Obby Creator is a platforming obstacle course testing precision and patience on Roblox.
game_0098,Color Block,Puzzle,PC,0.721,2022-04-29,165,Color Block is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0099,Pls Donate,Social,Mobile,0.916,2023-02-25,1617,"Pls Donate is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0100,Emergency Hamburg,Military,Mobile,0.834,2021-09-24,3598,"Emergency Hamburg is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0101,Mega World Simulator,Anime,PC,0.963,2021-09-03,713,"Mega World Simulator is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0102,Ultra World Simulator,Mystery,Mobile,0.626,2021-08-26,23923,Ultra World Simulator is a social-deduction mystery where you find the culprit before it's you on Roblox.
game_0103,Epic World Simulator,Comedy,Mobile,0.75,2021-02-10,3213,Epic World Simulator is a lighthearted comedic experience full of silly gags and chaos on Roblox.
game_0104,Super World Simulator,Military,Xbox,0.907,2023-10-13,1594,"Super World Simulator is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0105,Mystic World Simulator,Scary,PC,0.795,2021-04-28,4382,Mystic World Simulator is a jump-scare driven horror romp through haunted locations on Roblox.
game_0106,Neon World Simulator,Simulation,Mobile,0.628,2022-11-21,451,"Neon World Simulator is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0107,Cyber World Simulator,Adventure,PC,0.789,2023-06-09,3786,"Cyber World Simulator is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0108,Dark World Simulator,Horror,Mobile,0.76,2021-12-23,358,Dark World Simulator is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0109,Royal World Simulator,Strategy,Mobile,0.743,2021-01-11,4805,Royal World Simulator is a deep strategy title where planning and positioning win the day on Roblox.
game_0110,Cosmic World Simulator,FPS,PC,0.682,2023-10-22,424,Cosmic World Simulator is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0111,Tiny World Simulator,RPG,Mobile,0.979,2021-10-06,937,"Tiny World Simulator is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0112,Giant World Simulator,Fighting,Mobile,0.658,2023-02-05,520,"Giant World Simulator is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0113,Savage World Simulator,Racing,PC,0.632,2024-06-16,420,Savage World Simulator is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0114,Frozen World Simulator,Sports,Mobile,0.807,2020-08-26,245,"Frozen World Simulator is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0115,Burning World Simulator,Tycoon,PlayStation,0.627,2022-06-27,4013,Burning World Simulator is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0116,Golden World Simulator,Obby,PC,0.788,2025-12-03,1247,Golden World Simulator is a platforming obstacle course testing precision and patience on Roblox.
game_0117,Shadow World Simulator,Social,Mobile,0.752,2023-05-07,900,"Shadow World Simulator is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0118,Turbo World Simulator,Sandbox,PC,0.722,2025-10-20,11137,Turbo World Simulator is a physics sandbox for building and tinkering with anything on Roblox.
game_0119,Hyper World Simulator,Puzzle,PC,0.899,2024-11-10,1596,Hyper World Simulator is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0120,Pixel World Simulator,Survival,PlayStation,0.811,2021-11-13,241,"Pixel World Simulator is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0121,Mega Quest Simulator,Tower Defense,Xbox,0.941,2021-06-25,226,Mega Quest Simulator is a tower-defense battleground to place units and repel waves on Roblox.
game_0122,Ultra Quest Simulator,Anime,PC,0.812,2025-11-10,1678,"Ultra Quest Simulator is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0123,Epic Quest Simulator,Mystery,Mobile,0.653,2024-10-09,106,Epic Quest Simulator is a social-deduction mystery where you find the culprit before it's you on Roblox.
game_0124,Super Quest Simulator,Comedy,Mobile,0.675,2021-04-07,222,Super Quest Simulator is a lighthearted comedic experience full of silly gags and chaos on Roblox.
game_0125,Mystic Quest Simulator,Military,PC,0.581,2021-06-11,7424,"Mystic Quest Simulator is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0126,Neon Quest Simulator,Scary,PC,0.733,2024-04-25,49,Neon Quest Simulator is a jump-scare driven horror romp through haunted locations on Roblox.
game_0127,Cyber Quest Simulator,Simulation,Mobile,0.581,2024-12-09,91537,"Cyber Quest Simulator is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0128,Dark Quest Simulator,Adventure,PC,0.739,2023-04-19,133,"Dark Quest Simulator is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0129,Royal Quest Simulator,Horror,Mobile,0.765,2023-06-25,445,Royal Quest Simulator is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0130,Cosmic Quest Simulator,Strategy,Mobile,0.561,2023-09-23,832,Cosmic Quest Simulator is a deep strategy title where planning and positioning win the day on Roblox.
game_0131,Tiny Quest Simulator,FPS,PC,0.98,2026-04-21,33859,Tiny Quest Simulator is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0132,Giant Quest Simulator,RPG,Mobile,0.944,2021-07-29,4140,"Giant Quest Simulator is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0133,Savage Quest Simulator,Fighting,PC,0.967,2021-01-07,2082,"Savage Quest Simulator is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0134,Frozen Quest Simulator,Racing,Mobile,0.919,2025-05-12,757,Frozen Quest Simulator is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0135,Burning Quest Simulator,Sports,PC,0.9,2022-01-16,2314,"Burning Quest Simulator is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0136,Golden Quest Simulator,Tycoon,Mobile,0.6,2022-11-28,915,Golden Quest Simulator is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0137,Shadow Quest Simulator,Obby,Xbox,0.706,2020-09-20,982,Shadow Quest Simulator is a platforming obstacle course testing precision and patience on Roblox.
game_0138,Turbo Quest Simulator,Social,Mobile,0.665,2024-04-02,4601,"Turbo Quest Simulator is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0139,Hyper Quest Simulator,Sandbox,PC,0.855,2023-11-07,1050,Hyper Quest Simulator is a physics sandbox for building and tinkering with anything on Roblox.
game_0140,Pixel Quest Simulator,Puzzle,PC,0.977,2024-01-06,115,Pixel Quest Simulator is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0141,Mega Adventure Simulator,Survival,Xbox,0.764,2024-10-22,972,"Mega Adventure Simulator is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0142,Ultra Adventure Simulator,Tower Defense,Mobile,0.972,2021-02-14,1134,Ultra Adventure Simulator is a tower-defense battleground to place units and repel waves on Roblox.
game_0143,Epic Adventure Simulator,Anime,PC,0.871,2020-11-01,1377,"Epic Adventure Simulator is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0144,Super Adventure Simulator,Mystery,PC,0.665,2020-11-03,4787,Super Adventure Simulator is a social-deduction mystery where you find the culprit before it's you on Roblox.
game_0145,Mystic Adventure Simulator,Comedy,PC,0.922,2021-01-16,49898,Mystic Adventure Simulator is a lighthearted comedic experience full of silly gags and chaos on Roblox.
game_0146,Neon Adventure Simulator,Military,PC,0.746,2022-04-21,1028,"Neon Adventure Simulator is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0147,Cyber Adventure Simulator,Scary,PC,0.65,2022-03-29,65,Cyber Adventure Simulator is a jump-scare driven horror romp through haunted locations on Roblox.
game_0148,Dark Adventure Simulator,Simulation,Xbox,0.975,2022-03-16,21741,"Dark Adventure Simulator is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0149,Royal Adventure Simulator,Adventure,Xbox,0.604,2026-02-13,1793,"Royal Adventure Simulator is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0150,Cosmic Adventure Simulator,Horror,PlayStation,0.593,2021-08-06,656,Cosmic Adventure Simulator is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0151,Tiny Adventure Simulator,Strategy,Xbox,0.829,2022-01-28,197,Tiny Adventure Simulator is a deep strategy title where planning and positioning win the day on Roblox.
game_0152,Giant Adventure Simulator,FPS,Xbox,0.925,2021-01-23,677,Giant Adventure Simulator is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0153,Savage Adventure Simulator,RPG,PC,0.877,2025-06-06,3628,"Savage Adventure Simulator is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0154,Frozen Adventure Simulator,Fighting,Mobile,0.938,2023-03-06,294,"Frozen Adventure Simulator is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0155,Burning Adventure Simulator,Racing,PC,0.735,2022-05-01,3464,Burning Adventure Simulator is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0156,Golden Adventure Simulator,Sports,PC,0.623,2024-07-07,513,"Golden Adventure Simulator is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0157,Shadow Adventure Simulator,Tycoon,PC,0.764,2023-11-01,15940,Shadow Adventure Simulator is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0158,Turbo Adventure Simulator,Obby,Mobile,0.66,2021-05-19,144,Turbo Adventure Simulator is a platforming obstacle course testing precision and patience on Roblox.
game_0159,Hyper Adventure Simulator,Social,PC,0.956,2021-07-31,1956,"Hyper Adventure Simulator is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0160,Pixel Adventure Simulator,Sandbox,PlayStation,0.636,2023-02-23,2869,Pixel Adventure Simulator is a physics sandbox for building and tinkering with anything on Roblox.
game_0161,Mega Empire Simulator,Puzzle,PC,0.797,2022-07-05,1032,Mega Empire Simulator is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0162,Ultra Empire Simulator,Survival,PlayStation,0.942,2025-12-26,1995,"Ultra Empire Simulator is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0163,Epic Empire Simulator,Tower Defense,Mobile,0.644,2022-08-01,2930,Epic Empire Simulator is a tower-defense battleground to place units and repel waves on Roblox.
game_0164,Super Empire Simulator,Anime,PC,0.82,2024-12-31,66,"Super Empire Simulator is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0165,Mystic Empire Simulator,Mystery,Xbox,0.564,2021-08-04,1961,Mystic Empire Simulator is a social-deduction mystery where you find the culprit before it's you on Roblox.
game_0166,Neon Empire Simulator,Comedy,PC,0.607,2024-04-13,486,Neon Empire Simulator is a lighthearted comedic experience full of silly gags and chaos on Roblox.
game_0167,Cyber Empire Simulator,Military,Mobile,0.907,2023-06-24,17301,"Cyber Empire Simulator is a military roleplay of service, vehicles, and squad tactics on Roblox."
game_0168,Dark Empire Simulator,Scary,PC,0.871,2023-03-24,6124,Dark Empire Simulator is a jump-scare driven horror romp through haunted locations on Roblox.
game_0169,Royal Empire Simulator,Simulation,PC,0.966,2022-01-29,39515,"Royal Empire Simulator is a life-sim experience where you build, decorate, and manage your own world on Roblox."
game_0170,Cosmic Empire Simulator,Adventure,Xbox,0.664,2026-05-18,188,"Cosmic Empire Simulator is an open-world adventure packed with quests, treasures, and exploration on Roblox."
game_0171,Tiny Empire Simulator,Horror,PC,0.801,2023-08-06,260,Tiny Empire Simulator is a tense horror escape where you survive what lurks in the dark on Roblox.
game_0172,Giant Empire Simulator,Strategy,Xbox,0.828,2024-01-20,12144,Giant Empire Simulator is a deep strategy title where planning and positioning win the day on Roblox.
game_0173,Savage Empire Simulator,FPS,Mobile,0.6,2021-12-15,789,Savage Empire Simulator is a fast-paced shooter with satisfying gunplay and competitive modes on Roblox.
game_0174,Frozen Empire Simulator,RPG,PC,0.717,2025-01-05,276,"Frozen Empire Simulator is an RPG with classes, leveling, and loot-driven progression on Roblox."
game_0175,Burning Empire Simulator,Fighting,PC,0.931,2024-10-20,1432,"Burning Empire Simulator is a combat arena focused on combos, timing, and character mastery on Roblox."
game_0176,Golden Empire Simulator,Racing,Mobile,0.564,2023-05-26,11885,Golden Empire Simulator is a racing game with licensed-style vehicles and drift mechanics on Roblox.
game_0177,Shadow Empire Simulator,Sports,PC,0.593,2022-06-20,47,"Shadow Empire Simulator is a sports sim with team play, physics, and ranked seasons on Roblox."
game_0178,Turbo Empire Simulator,Tycoon,Mobile,0.576,2022-07-06,270596,Turbo Empire Simulator is a tycoon builder where you grow a business from scratch to a fortune on Roblox.
game_0179,Hyper Empire Simulator,Obby,PC,0.826,2024-02-27,2920,Hyper Empire Simulator is a platforming obstacle course testing precision and patience on Roblox.
game_0180,Pixel Empire Simulator,Social,Mobile,0.58,2024-03-26,490,"Pixel Empire Simulator is a hangout hub for chatting, roleplay, and mini-games with friends on Roblox."
game_0181,Mega Legends Simulator,Sandbox,Xbox,0.691,2023-12-03,393,Mega Legends Simulator is a physics sandbox for building and tinkering with anything on Roblox.
game_0182,Ultra Legends Simulator,Puzzle,PC,0.782,2025-01-28,3464,Ultra Legends Simulator is a brain-teasing puzzle game with escalating logic challenges on Roblox.
game_0183,Epic Legends Simulator,Survival,Xbox,0.803,2023-11-13,227,"Epic Legends Simulator is a survival challenge against disasters, hunters, or the elements on Roblox."
game_0184,Super Legends Simulator,Tower Defense,PC,0.776,2021-10-24,524,Super Legends Simulator is a tower-defense battleground to place units and repel waves on Roblox.
game_0185,Mystic Legends Simulator,Anime,Mobile,0.805,2020-10-11,817,"Mystic Legends Simulator is an anime-inspired battler with powers, quests, and transformations on Roblox."
game_0186,Neon Legends Simulator,Mystery,PC,0.68,2020-09-08,150,Neon Legends Simulator is a social-deduction mystery where you find the culprit before it's you on Roblox.
game_0187,Cyber Legends Simulator,Comedy,Mobile,0.761,2025-04-28,5776,Cyber Legends Simulator is a lighthearted comedic experience full of silly gags and chaos on Roblox.
